byte: 2 | bit: 60 | key guess: 54 | Cor: 0.291024 ==> correct key: 0.246350
byte: 2 | bit: 61 | key guess: 00 | Cor: 0.297020 ==> correct key: 0.297020
byte: 2 | bit: 62 | key guess: 05 | Cor: 0.290882 ==> correct key: 0.247059
byte: 2 | bit: 63 | key guess: 00 | Cor: 0.283473 ==> correct key: 0.283473
correct: 9/64

byte: 3 | bit: 0 | key guess: 00 | Cor: 0.266439 ==> correct key: 0.266439
byte: 3 | bit: 1 | key guess: 00 | Cor: 0.320557 ==> correct key: 0.320557
byte: 3 | bit: 2 | key guess: 00 | Cor: 0.259153 ==> correct key: 0.259153
byte: 3 | bit: 3 | key guess: 00 | Cor: 0.313458 ==> correct key: 0.313458
byte: 3 | bit: 4 | key guess: 00 | Cor: 0.336194 ==> correct key: 0.336194
byte: 3 | bit: 5 | key guess: 00 | Cor: 0.353390 ==> correct key: 0.353390
byte: 3 | bit: 6 | key guess: 00 | Cor: 0.251106 ==> correct key: 0.251106
byte: 3 | bit: 7 | key guess: 00 | Cor: 0.305144 ==> correct key: 0.305144
byte: 3 | bit: 8 | key guess: 00 | Cor: 0.320401 ==> correct key: 0.320401
byte: 3 | bit: 9 | key guess: 00 | Cor: 0.336441 ==> correct key: 0.336441
byte: 3 | bit: 10 | key guess: 00 | Cor: 0.265657 ==> correct key: 0.265657
byte: 3 | bit: 11 | key guess: 00 | Cor: 0.251106 ==> correct key: 0.251106
byte: 3 | bit: 12 | key guess: 00 | Cor: 0.242372 ==> correct key: 0.242372
byte: 3 | bit: 13 | key guess: 00 | Cor: 0.328768 ==> correct key: 0.328768
byte: 3 | bit: 14 | key guess: 00 | Cor: 0.382824 ==> correct key: 0.382824
byte: 3 | bit: 15 | key guess: 00 | Cor: 0.312500 ==> correct key: 0.312500
byte: 3 | bit: 16 | key guess: 00 | Cor: 0.282494 ==> correct key: 0.282494
byte: 3 | bit: 17 | key guess: 00 | Cor: 0.273646 ==> correct key: 0.273646
byte: 3 | bit: 18 | key guess: ca | Cor: 0.320394 ==> correct key: 0.303276
byte: 3 | bit: 19 | key guess: 40 | Cor: 0.336117 ==> correct key: 0.336117
byte: 3 | bit: 20 | key guess: 40 | Cor: 0.323633 ==> correct key: 0.323633
byte: 3 | bit: 21 | key guess: d1 | Cor: 0.317991 ==> correct key: 0.249542
byte: 3 | bit: 22 | key guess: 30 | Cor: 0.292298 ==> correct key: 0.233884
byte: 3 | bit: 23 | key guess: 51 | Cor: 0.296514 ==> correct key: 0.266053
byte: 3 | bit: 24 | key guess: 6d | Cor: 0.312172 ==> correct key: 0.229628
byte: 3 | bit: 25 | key guess: 52 | Cor: 0.303875 ==> correct key: 0.259532
byte: 3 | bit: 26 | key guess: 64 | Cor: 0.298897 ==> correct key: 0.281801
byte: 3 | bit: 27 | key guess: dc | Cor: 0.310518 ==> correct key: 0.241934
byte: 3 | bit: 28 | key guess: 40 | Cor: 0.370815 ==> correct key: 0.370815
byte: 3 | bit: 29 | key guess: 00 | Cor: 0.320557 ==> correct key: 0.320557
byte: 3 | bit: 30 | key guess: 40 | Cor: 0.311307 ==> correct key: 0.311307
byte: 3 | bit: 31 | key guess: 00 | Cor: 0.313458 ==> correct key: 0.313458
byte: 3 | bit: 32 | key guess: de | Cor: 0.307360 ==> correct key: 0.275517
byte: 3 | bit: 33 | key guess: 00 | Cor: 0.353390 ==> correct key: 0.353390
byte: 3 | bit: 34 | key guess: 04 | Cor: 0.309172 ==> correct key: 0.263511
byte: 3 | bit: 35 | key guess: 00 | Cor: 0.305144 ==> correct key: 0.305144
